REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
107614,2016-09-28T18:58:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Morningside,7,10,42003101400,2,10,5,3-7,-79.9299342012125,40.4757062614926,APPROXIMATE
372940,2019-08-13T12:06:00,Potholes,Call Center,1,DPW - Street Maintenance,Homewood South,9,13,42003130400,2,13,5,3-17,-79.8861827,40.4520506,EXACT
40435,2016-01-11T18:26:00,Replace/Repair a Sign,Website,1,DOMI - TrafficShop,Troy Hill,1,24,42003240600,1,24,1,1-2,-79.981421963507,40.4675746256333,EXACT
189779,2017-09-27T09:32:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Squirrel Hill South,5,14,42003141300,3,14,4,2-21,-79.9252039156967,40.4319489577791,APPROXIMATE
215793,2018-02-06T09:20:00,Sidewalk Obstruction,Report2Gov iOS,3,DOMI - Permits,Troy Hill,1,24,42003240600,1,24,1,1-2,-79.984535,40.463959,EXACT
297231,2018-10-24T09:14:00,Missed Blue Bag,Call Center,1,DPW - Refuse,Westwood,2,20,42003563100,5,20,6,1-18,-80.0422290407524,40.4340770866942,APPROXIMATE
170170,2017-07-14T15:00:00,HVAC Not Functioning,Report2Gov iOS,1,"Permits, Licenses and Inspections",Central Business District,6,2,42003020100,6,2,2,1-3,-79.996955559557,40.4450660303444,APPROXIMATE
1669,2015-04-23T10:07:00,Potholes,Call Center,1,DPW - Street Maintenance,East Hills,9,13,42003130600,2,13,5,3-17,-79.8758533,40.4570928,EXACT
7741,2015-06-04T11:45:00,Refuse Violations,Call Center,1,DPW - Refuse,South Side Slopes,3,16,42003160800,3,16,3,4-22,-79.9758946704439,40.420810325649,APPROXIMATE
67928,2016-05-10T08:28:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",,,,42003560500,,,,3-21,-79.8952734,40.4355956,EXACT
197165,2017-11-03T13:47:00,Junk Vehicles,Website,3,"Permits, Licenses and Inspections",Manchester,6,21,42003210700,1,21,1,1-8,-80.026715331421,40.4574338147175,APPROXIMATE
369327,2019-08-01T11:47:00,Refuse Violations,Call Center,0,DPW - Refuse,Lincoln Place,5,31,42003310200,3,31,4,4-20,-79.9195440230828,40.367463419413,APPROXIMATE
112330,2016-10-23T15:48:00,Hydrant,Website,1,Pittsburgh Water and Sewer Authority,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,-79.9276197410698,40.432388775074,EXACT
54437,2016-03-11T15:06:00,Tree Removal,Call Center,1,DPW - Forestry Division,Manchester,6,21,42003210700,1,21,1,1-8,-80.0268849,40.453669,EXACT
149997,2017-05-02T13:40:00,Litter,Call Center,1,DPW - Street Maintenance,Chateau,6,21,42003980600,1,21,1,1-8,-80.027197,40.448938,EXACT
20723,2015-08-24T11:07:00,"Traffic or Pedestrian Signal, Request ",Website,1,DOMI - Traffic,Bloomfield,7,8,42003080600,2,8,5,3-23,-79.9396174,40.4566141,EXACT
142575,2017-04-02T00:51:00,Potholes,Website,1,DPW - Street Maintenance,South Side Flats,3,17,42003170200,3,17,3,4-24,-79.9821736,40.4274874,EXACT
30354,2015-11-02T15:56:00,Building Without a Permit,Call Center,1,"Permits, Licenses and Inspections",Overbrook,4,32,42003320700,5,32,3,4-25,-80.0008842581724,40.385932451996,APPROXIMATE
66942,2016-05-05T13:31:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.025667,40.465956,EXACT
108460,2016-10-03T22:10:00,"Traffic or Pedestrian Signal, Request ",Report2Gov iOS,1,DOMI - Traffic,Bluff,6,1,42003010300,6,1,2,2-4,-79.98983,40.434452,EXACT
28881,2015-10-23T09:30:00,Retaining Wall Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Mount Washington,2,19,42003191400,5,19,3,4-27,-80.0075750078518,40.4290832977077,APPROXIMATE
303807,2018-12-04T10:58:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,Lincoln Place,5,31,42003310200,3,31,4,4-20,-79.9165537,40.3683497,EXACT
169596,2017-07-13T08:05:00,Fire Safety System Not Working,Control Panel,1,"Permits, Licenses and Inspections",Duquesne Heights,2,19,42003191100,5,19,3,4-1,-80.0253090034502,40.4395876282642,APPROXIMATE
89580,2016-07-20T10:04:00,Missed Pick Up,Call Center,1,DPW - Refuse,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.0282746027341,40.4653898206239,APPROXIMATE
126780,2017-01-23T09:58:00,Thank You - Police,Call Center,1,Police - Zones 1-6,Central Business District,6,2,42003020100,6,2,2,1-4,-79.9960676867222,40.4396682971981,APPROXIMATE
319448,2019-02-18T15:15:00,Snow/Ice removal,Call Center,1,DPW - Street Maintenance,Greenfield,5,15,42003151700,3,15,4,2-12,-79.9383823,40.4213692,EXACT
295430,2018-10-14T19:17:00,Street Light - Repair,Website,1,Allegheny City Electric,Shadyside,8,7,42003070500,2,7,4,3-11,-79.9318708142639,40.4566352672866,EXACT
117148,2016-11-18T13:31:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Upper Hill,6,5,42003050600,3,5,2,2-24,-79.9631841,40.4554915,EXACT
222595,2018-02-20T13:40:00,Paving Request,Call Center,1,DOMI - Asphalt,New Homestead,5,31,42003310300,3,31,4,4-20,-79.9183363,40.3792769,EXACT
214344,2018-01-29T16:46:00,Replace/Repair a Sign,Report2Gov iOS,1,DOMI - TrafficShop,South Side Slopes,3,16,42003160800,3,16,3,4-22,-79.973595,40.423256,EXACT
162681,2017-06-16T13:09:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",South Side Slopes,3,16,42003160800,3,16,3,4-24,-79.9719879,40.4231325,EXACT
